Timestamp (GMT),Temperature (Â°C),Humidity (%)
2025-03-11 16:10:07,23.0,35
2025-03-11 16:10:09,24.0,33
2025-03-11 16:10:25,24.1,32
2025-03-11 16:11:58,24.2,32
2025-03-11 16:18:59,24.4,32
2025-03-11 16:23:33,24.7,29
2025-03-11 16:24:26,25.1,29
2025-03-11 16:38:58,26.0,30
2025-03-11 16:40:31,26.1,29
2025-03-11 16:40:39,26.3,29
2025-03-11 16:42:34,26.4,29
2025-03-11 16:42:35,26.4,29
2025-03-11 16:42:36,26.7,29
2025-03-11 16:42:37,26.7,29
2025-03-11 16:42:38,26.8,29
2025-03-11 16:42:39,26.8,29
2025-03-11 16:42:42,26.8,29
2025-03-11 16:42:44,26.8,29
2025-03-11 16:42:45,26.9,29
2025-03-11 16:42:46,26.9,29
2025-03-11 16:42:48,26.9,29
2025-03-11 16:42:50,26.9,28
2025-03-11 16:43:00,27.0,29
2025-03-11 16:44:56,26.9,28
2025-03-12 14:58:01,22.1,39
2025-03-12 15:00:02,22.4,39
2025-03-12 15:01:40,22.9,37
2025-03-12 15:15:43,23.2,36
2025-03-12 15:18:16,26.7,30
2025-03-12 15:19:27,26.7,29
2025-03-12 15:24:38,26.5,29
2025-03-12 15:24:40,25.6,29
2025-03-12 15:24:41,25.6,29
2025-03-12 15:24:43,25.7,29
2025-03-12 15:24:44,25.7,29
2025-03-12 15:24:45,25.7,29
2025-03-12 15:24:46,25.7,29
2025-03-12 15:24:47,25.7,29
2025-03-12 15:24:48,25.7,29
2025-03-12 15:24:50,25.7,29
2025-03-12 15:24:52,25.7,29
2025-03-12 15:24:53,25.7,29
2025-03-12 15:24:54,25.8,29
2025-03-12 15:24:55,25.8,29
2025-03-12 15:24:56,25.7,29
2025-03-12 15:24:57,25.7,29
2025-03-12 15:24:59,25.7,29
2025-03-12 15:25:00,25.7,29
2025-03-12 15:25:01,25.8,29
2025-03-12 15:25:02,25.8,29
2025-03-12 15:25:04,25.8,29
2025-03-12 15:25:06,25.8,29
2025-03-12 15:25:08,25.8,29
2025-03-12 15:25:09,25.8,29
2025-03-12 15:25:10,25.8,29
2025-03-12 15:25:11,25.8,29
2025-03-12 15:25:14,25.7,29
2025-03-12 15:25:15,25.7,29
2025-03-12 15:25:18,25.7,29
2025-03-12 15:25:19,25.7,30
2025-03-12 15:25:20,25.7,30
2025-03-12 15:25:21,25.8,30
2025-03-12 15:25:22,25.8,30
2025-03-12 15:25:24,25.8,30
2025-03-12 15:25:26,25.7,30
2025-03-12 15:25:27,25.7,30
2025-03-12 15:25:28,25.8,30
2025-03-12 15:25:29,25.8,30
2025-03-12 15:29:04,26.3,30
2025-03-12 15:36:53,26.0,30
